school,volunteer,sports,clubs,sports_clubs,help_others,explore,experience,resume,friends,leadership,other_benefits,no_benefits,distracts,training,frustrating,boring,takes_time,money,other_neg,no_neg,specialized_school
Jackson Memorial High School,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0
Jackson Memorial High School,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Jay M. Robinson; NC/USA,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
La Quinta High School (CA/USA),1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Lacey Township High School,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0
Lacey Township High School,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Lacey Township High School,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Lacey Township High School,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Lacey Township High School,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0
Lacey Township High School,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Lacey Township High School,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Lacey Township High School,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Lacey Township High School,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Lacey Township High School,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lacey Township High School,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0
Lakewood High School,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Lakewood High School,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Lakewood High School,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0
Lakewood High School,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Lakewood High School,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Lakewood High School,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
Lakewood High School,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0
Lakewood High School,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Lakewood High School,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0
Lakewood High School,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Liberty U,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Livingston High School,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Livingston High School,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Manchester Township High School,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Manchester Township High School,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
Manchester Township High School,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Manchester Township High School,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Manchester Township High School,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
Manchester Township High School,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
Manchester Township High School,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0
Manchester Township High School,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0
Manchester Township High School,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
Manchester Township High School,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Manchester Township High School,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
